"","salesprice","LotArea","YearBuilt","YearRemodAdd","TotalSF","FullBaths","HalfBaths","TotRmsAbvGrd","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","BldgType_2fmCon","BldgType_Duplex","BldgType_Twnhs","BldgType_TwnhsE","SaleType_Con","SaleType_ConLD","SaleType_ConLI","SaleType_ConLw","SaleType_CWD","SaleType_New","SaleType_Oth","SaleType_WD"
"62",101000,7200,1920,1996,1641,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"63",202500,6442,2006,2006,2740,2,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"64",140000,10300,1921,1950,2286,2,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"65",219500,9375,1997,1998,3091,3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"66",317000,9591,2004,2005,3616,2,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"67",180000,19900,1970,1989,4154,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"68",226000,10665,2003,2003,2932,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"69",80000,4608,1945,1950,1494,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"70",225000,15593,1953,1953,3591,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"71",244000,13651,1973,1973,4446,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"72",129500,7599,1982,2006,1690,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"73",185000,10141,1998,1998,2550,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"74",144900,10200,1954,2003,2172,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"75",107400,5790,1915,1950,2445,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"76",91000,1596,1973,1973,1450,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"77",135750,8475,1956,1956,1904,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"78",127000,8635,1948,2001,1957,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"79",136500,10778,1968,1968,3536,2,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"80",110000,10440,1910,1981,1670,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"81",193500,13000,1968,1968,3038,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"82",153500,4500,1998,1998,2574,3,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"83",245000,10206,2007,2007,3126,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"84",126500,8892,1960,1960,2130,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"85",168500,8530,1995,1996,1858,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"86",260000,16059,1991,1992,3705,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"87",174000,11911,2005,2005,2244,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"88",164500,3951,2009,2009,1836,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"89",85000,8470,1915,1982,2539,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"90",123600,8070,1994,1995,1980,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"91",109900,7200,1950,1950,1040,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"92",98600,8500,1961,1961,2470,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"93",163500,13360,1921,2006,1840,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"94",133900,7200,1910,1998,3505,2,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"95",204750,9337,1997,1997,2610,3,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"96",185000,9765,1993,1993,2150,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",214000,10264,1999,1999,3176,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"98",94750,10921,1965,1965,1920,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"99",83000,10625,1920,1950,1293,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",128950,9320,1959,1959,2175,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"101",205000,10603,1977,2001,3220,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"102",178000,9206,1985,1985,2473,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"103",118964,7018,1979,1979,1535,2,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"104",198900,10402,2009,2009,2452,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"105",169500,7758,1931,1950,2858,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"106",250000,9375,2003,2004,3045,2,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"107",100000,10800,1885,1995,1688,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"108",115000,6000,1948,1950,1578,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"109",115000,8500,1919,2005,2310,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"110",190000,11751,1977,1977,3688,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"111",136900,9525,1954,1972,2849,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"112",180000,7750,2000,2000,1814,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"113",383970,9965,2007,2007,3960,3,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"114",217000,21000,1953,1953,4068,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",259500,7259,1945,2002,3348,3,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"116",176000,3230,1999,1999,2187,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"117",139000,11616,1962,1962,2184,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"118",155000,8536,2006,2007,2250,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"119",320000,12376,1990,1990,4895,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"120",163990,8461,2005,2006,2184,2,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"121",180000,21453,1969,1969,1926,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",100000,6060,1939,1950,1855,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"123",136000,9464,1958,1958,2160,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"124",153900,7892,1993,1993,2398,2,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"125",181000,17043,1979,1998,2948,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"126",84500,6780,1935,1982,1274,2,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"127",128000,4928,1976,1976,2036,2,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"128",87000,4388,1930,1950,1512,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"129",155000,7590,1966,1966,2008,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"130",150000,8973,1958,1991,2061,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"131",226000,14200,1966,1966,3081,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"132",244000,12224,2000,2000,3046,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"133",150750,7388,1959,2002,2390,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"134",220000,6853,2001,2002,2563,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"135",180000,10335,1968,1993,3182,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"136",174000,10400,1970,1970,2986,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"137",143000,10355,1967,1967,2428,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"138",171000,11070,1988,1989,3866,3,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"139",230000,9066,1999,2000,2856,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"140",231500,15426,1997,1997,2692,3,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"141",115000,10500,1971,1971,1728,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"142",260000,11645,2005,2005,3468,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"143",166000,8520,1952,1952,2295,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"144",204000,10335,1999,1999,2991,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"145",125000,9100,1963,1963,3456,3,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"146",130000,2522,2004,2006,2679,2,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"147",105000,6120,1931,1993,1590,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"148",222500,9505,2001,2001,2919,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"149",141000,7500,2004,2005,2160,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"150",115000,6240,1936,1950,2240,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"151",122000,10356,1975,1975,1938,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152",372402,13891,2007,2008,3420,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"153",190000,14803,1971,1971,2818,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"154",235000,13500,1960,1975,2854,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"155",125000,11340,1923,1950,2400,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"156",79000,9600,1924,1950,1668,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"157",109500,7200,1950,1950,1040,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"158",269500,12003,2009,2010,2742,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"159",254900,12552,2004,2005,2938,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"160",320000,19378,2005,2006,3854,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"161",162500,11120,1984,1984,2464,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"162",412500,13688,2003,2004,4240,3,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"163",220000,12182,2005,2005,3082,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"164",103200,5500,1956,1956,1764,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"165",152000,5400,1926,2004,2765,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"166",127500,10106,1940,1999,1999,3,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"167",190000,10708,1955,1993,3484,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"168",325624,10562,2007,2007,3743,2,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"169",183500,8244,2004,2004,2560,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"170",228000,16669,1981,1981,3393,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171",128500,12358,1941,1950,2102,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"172",215000,31770,1960,1960,2736,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"173",239000,5306,1987,1987,2831,3,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"174",163000,10197,1961,1961,2724,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"175",184000,12416,1986,1986,3257,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"176",243000,12615,1950,2001,3360,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"177",211000,10029,1988,1989,3211,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"178",172500,13650,1958,1958,2972,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"179",501837,17423,2008,2009,4450,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"180",100000,8520,1923,2006,1936,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"181",177000,2117,2000,2000,2281,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"182",200100,7588,1920,1950,2595,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"183",120000,9060,1957,2006,1340,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"184",200000,11426,2003,2003,3444,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"185",127000,7438,1908,1991,1756,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"186",475000,22950,1892,1993,4715,2,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"187",173000,9947,1990,1991,2405,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"188",135000,10410,1916,1987,2316,2,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"189",153337,7018,1979,1979,2310,2,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"190",286000,4923,2001,2002,3186,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"191",315000,10570,1932,1994,3580,2,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"192",184000,7472,1972,2004,2204,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"193",192000,9017,1999,1999,2862,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"194",130000,2522,2004,2004,2679,2,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"195",127000,7180,1972,1972,1728,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"196",148500,2280,1976,1976,2311,2,1,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"197",311872,9416,2007,2007,3452,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"198",235000,25419,1918,1990,4472,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"199",104000,5520,1912,1950,2984,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"200",274900,9591,2004,2005,3426,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"201",140000,8546,2003,2004,2242,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"202",171500,10125,1977,1977,2475,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"203",112000,7000,1924,1950,1927,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",149000,4438,2004,2004,1696,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"205",110000,3500,1947,1950,2004,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"206",180500,11851,1990,1990,2866,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"207",143900,13673,1962,1962,2836,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"208",141000,12493,1960,1960,2200,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"209",277000,14364,1988,1989,3219,3,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"210",145000,8250,1964,1964,2184,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"211",98000,5604,1925,1950,1728,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"212",186000,10420,2009,2009,2424,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"213",252678,8640,2009,2009,2752,3,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"214",156000,13568,1995,1995,1980,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"215",161750,10900,1977,1977,2081,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"216",134450,10011,1957,1996,2306,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"217",210000,8450,2004,2004,2872,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"218",107000,9906,1925,1950,2014,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"219",311500,15660,1939,2006,2752,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"220",167240,3010,2005,2006,2496,2,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"221",204900,8990,2006,2006,2996,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"222",200000,8068,2002,2002,3277,2,1,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"223",179900,11475,1975,1975,2265,3,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"224",97000,10500,1971,1971,1728,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"225",386250,13472,2003,2003,4784,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"226",112000,1680,1971,1971,1932,2,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"227",290000,9950,1995,1995,3723,2,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"228",106000,1869,1970,1970,1470,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"229",125000,8521,1967,1967,1824,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"230",192500,3182,2005,2006,2928,2,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"231",148000,8760,1959,1959,2388,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"232",403000,15138,1995,1996,4256,3,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"233",94500,1680,1972,1972,1470,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"234",128200,10650,1976,1976,1788,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"235",216500,7851,2002,2002,2820,3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"236",89500,1680,1971,1971,1470,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"237",185500,8773,2004,2004,2828,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"238",194500,9453,1993,2003,2740,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"239",318000,12030,2007,2007,3388,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"240",113000,8741,1945,1950,2222,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"241",262500,9000,2008,2008,3132,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"242",110500,3880,1945,1997,1552,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
