"","LotArea","YearBuilt","YearRemodAdd","TotalSF","FullBaths","HalfBaths","TotRmsAbvGrd","SaleType","LotConfig","BldgType","SalePrice"
"135","10335","1968","1993","3182","2","1","7","WD","Inside","1Fam","180000"
"136","10400","1970","1970","2986","2","0","7","WD","Inside","1Fam","174000"
"137","10355","1967","1967","2428","2","0","5","WD","Corner","1Fam","143000"
"138","11070","1988","1989","3866","3","0","9","WD","Inside","Duplex","171000"
"139","9066","1999","2000","2856","2","1","7","WD","Inside","1Fam","230000"
"140","15426","1997","1997","2692","3","1","7","WD","Inside","1Fam","231500"
"141","10500","1971","1971","1728","1","0","5","ConLI","FR2","1Fam","115000"
"142","11645","2005","2005","3468","3","0","7","WD","Inside","1Fam","260000"
"143","8520","1952","1952","2295","2","0","6","WD","Corner","1Fam","166000"
"144","10335","1999","1999","2991","3","0","6","WD","Inside","1Fam","204000"
"145","9100","1963","1963","3456","3","0","10","ConLI","Inside","Duplex","125000"
"146","2522","2004","2006","2679","2","0","7","WD","Inside","Twnhs","130000"
"147","6120","1931","1993","1590","2","0","5","WD","Corner","1Fam","105000"
"148","9505","2001","2001","2919","2","1","8","WD","CulDSac","1Fam","222500"
"149","7500","2004","2005","2160","2","0","6","WD","Inside","1Fam","141000"
"150","6240","1936","1950","2240","1","0","7","WD","Inside","1Fam","115000"
"151","10356","1975","1975","1938","1","1","5","WD","Corner","1Fam","122000"
"152","13891","2007","2008","3420","3","0","6","New","Inside","1Fam","372402"
"153","14803","1971","1971","2818","2","1","8","WD","CulDSac","1Fam","190000"
"154","13500","1960","1975","2854","2","0","4","WD","Inside","1Fam","235000"
"155","11340","1923","1950","2400","1","0","7","WD","Corner","1Fam","125000"
"156","9600","1924","1950","1668","1","0","5","WD","Corner","1Fam","79000"
"157","7200","1950","1950","1040","1","0","5","WD","Inside","1Fam","109500"
"158","12003","2009","2010","2742","2","1","8","New","Corner","1Fam","269500"
"159","12552","2004","2005","2938","2","1","8","WD","Corner","1Fam","254900"
"160","19378","2005","2006","3854","3","1","9","New","Corner","1Fam","320000"
"161","11120","1984","1984","2464","2","0","6","WD","CulDSac","1Fam","162500"
"162","13688","2003","2004","4240","3","1","10","WD","Inside","1Fam","412500"
"163","12182","2005","2005","3082","2","0","7","New","Corner","1Fam","220000"
"164","5500","1956","1956","1764","1","0","4","WD","Inside","1Fam","103200"
"165","5400","1926","2004","2765","2","0","5","WD","Corner","1Fam","152000"
"166","10106","1940","1999","1999","3","0","6","WD","Inside","2fmCon","127500"
"167","10708","1955","1993","3484","2","0","7","COD","Inside","1Fam","190000"
"168","10562","2007","2007","3743","2","1","8","New","Inside","1Fam","325624"
"169","8244","2004","2004","2560","2","1","7","WD","Inside","1Fam","183500"
"170","16669","1981","1981","3393","2","1","6","WD","Corner","1Fam","228000"
"171","12358","1941","1950","2102","1","1","7","WD","Inside","1Fam","128500"
"172","31770","1960","1960","2736","2","0","7","WD","Corner","1Fam","215000"
"173","5306","1987","1987","2831","3","0","5","WD","Inside","TwnhsE","239000"
"174","10197","1961","1961","2724","2","1","6","COD","Inside","1Fam","163000"
"175","12416","1986","1986","3257","3","0","7","WD","Inside","1Fam","184000"
"176","12615","1950","2001","3360","3","0","7","WD","Corner","1Fam","243000"
"177","10029","1988","1989","3211","2","2","8","WD","Corner","1Fam","211000"
"178","13650","1958","1958","2972","3","0","8","WD","Inside","1Fam","172500"
"179","17423","2008","2009","4450","3","0","9","New","CulDSac","1Fam","501837"
"180","8520","1923","2006","1936","1","0","5","WD","Inside","1Fam","100000"
"181","2117","2000","2000","2281","2","1","5","WD","Inside","Twnhs","177000"
"182","7588","1920","1950","2595","1","1","9","WD","Inside","1Fam","200100"
"183","9060","1957","2006","1340","1","0","7","WD","Inside","1Fam","120000"
"184","11426","2003","2003","3444","2","1","6","WD","Inside","1Fam","200000"
"185","7438","1908","1991","1756","1","0","5","WD","Inside","1Fam","127000"
"186","22950","1892","1993","4715","2","1","12","WD","Inside","1Fam","475000"
"187","9947","1990","1991","2405","3","0","6","WD","CulDSac","1Fam","173000"
"188","10410","1916","1987","2316","2","1","8","WD","Inside","1Fam","135000"
"189","7018","1979","1979","2310","2","2","6","WD","Inside","Duplex","153337"
"190","4923","2001","2002","3186","2","1","5","WD","Inside","TwnhsE","286000"
"191","10570","1932","1994","3580","2","1","10","WD","Inside","1Fam","315000"
"192","7472","1972","2004","2204","2","1","7","WD","CulDSac","1Fam","184000"
"193","9017","1999","1999","2862","3","0","6","WD","Inside","1Fam","192000"
"194","2522","2004","2004","2679","2","0","7","WD","Inside","Twnhs","130000"
"195","7180","1972","1972","1728","1","0","5","WD","Inside","1Fam","127000"
"196","2280","1976","1976","2311","2","1","7","WD","FR2","Twnhs","148500"
"197","9416","2007","2007","3452","3","0","8","New","Inside","1Fam","311872"
"198","25419","1918","1990","4472","3","1","8","WD","Corner","1Fam","235000"
"199","5520","1912","1950","2984","1","0","8","WD","Corner","1Fam","104000"
"200","9591","2004","2005","3426","3","0","7","WD","Inside","1Fam","274900"
"201","8546","2003","2004","2242","2","0","5","WD","Corner","1Fam","140000"
"202","10125","1977","1977","2475","2","1","6","WD","Inside","1Fam","171500"
"203","7000","1924","1950","1927","2","0","6","COD","Corner","1Fam","112000"
"204","4438","2004","2004","1696","2","0","3","WD","Inside","TwnhsE","149000"
"205","3500","1947","1950","2004","1","1","5","WD","Inside","1Fam","110000"
"206","11851","1990","1990","2866","2","0","5","WD","Corner","1Fam","180500"
"207","13673","1962","1962","2836","1","1","8","WD","CulDSac","1Fam","143900"
"208","12493","1960","1960","2200","2","0","6","WD","Inside","1Fam","141000"
"209","14364","1988","1989","3219","3","1","7","WD","Inside","1Fam","277000"
"210","8250","1964","1964","2184","2","0","6","WD","Inside","1Fam","145000"
"211","5604","1925","1950","1728","2","0","5","WD","Inside","1Fam","98000"
"212","10420","2009","2009","2424","2","0","6","WD","Corner","1Fam","186000"
"213","8640","2009","2009","2752","3","1","7","New","Inside","1Fam","252678"
"214","13568","1995","1995","1980","1","1","5","WD","CulDSac","1Fam","156000"
"215","10900","1977","1977","2081","1","1","6","WD","FR2","1Fam","161750"
"216","10011","1957","1996","2306","1","1","6","WD","Inside","1Fam","134450"
"217","8450","2004","2004","2872","3","0","8","WD","Inside","1Fam","210000"
"218","9906","1925","1950","2014","1","0","8","WD","Inside","1Fam","107000"
"219","15660","1939","2006","2752","1","2","8","WD","Corner","1Fam","311500"
"220","3010","2005","2006","2496","2","0","5","New","Inside","TwnhsE","167240"
"221","8990","2006","2006","2996","2","0","5","New","Inside","1Fam","204900"
"222","8068","2002","2002","3277","2","1","8","ConLI","Inside","1Fam","200000"
"223","11475","1975","1975","2265","3","1","6","WD","Inside","1Fam","179900"
"224","10500","1971","1971","1728","1","0","4","WD","FR2","1Fam","97000"
"225","13472","2003","2003","4784","2","0","8","WD","Inside","1Fam","386250"
"226","1680","1971","1971","1932","2","1","6","COD","Inside","Twnhs","112000"
"227","9950","1995","1995","3723","2","1","9","WD","Inside","1Fam","290000"
"228","1869","1970","1970","1470","1","1","5","WD","Inside","Twnhs","106000"
"229","8521","1967","1967","1824","1","0","5","WD","FR2","1Fam","125000"
"230","3182","2005","2006","2928","2","0","7","WD","Inside","TwnhsE","192500"
"231","8760","1959","1959","2388","2","0","6","WD","Inside","1Fam","148000"
"232","15138","1995","1996","4256","3","1","9","WD","Inside","1Fam","403000"
"233","1680","1972","1972","1470","1","1","5","WD","Inside","Twnhs","94500"
"234","10650","1976","1976","1788","2","0","5","WD","Corner","1Fam","128200"
"235","7851","2002","2002","2820","3","1","8","WD","Inside","1Fam","216500"
"236","1680","1971","1971","1470","1","1","5","WD","Inside","TwnhsE","89500"
"237","8773","2004","2004","2828","2","0","6","WD","FR2","1Fam","185500"
"238","9453","1993","2003","2740","2","1","7","WD","CulDSac","1Fam","194500"
"239","12030","2007","2007","3388","2","0","7","New","Inside","1Fam","318000"
"240","8741","1945","1950","2222","1","1","7","WD","Inside","1Fam","113000"
"241","9000","2008","2008","3132","3","0","7","WD","Inside","1Fam","262500"
"242","3880","1945","1997","1552","1","0","4","WD","Inside","1Fam","110500"
"243","5000","1900","1950","1980","1","0","6","WD","Corner","1Fam","79000"
"244","10762","1980","1980","1843","1","1","6","WD","Corner","TwnhsE","120000"
"245","8880","1994","2002","3058","3","1","8","WD","Inside","1Fam","205000"
"246","10400","1988","1988","3717","2","1","6","WD","Inside","1Fam","241500"
"247","9142","1910","1950","2948","2","0","9","WD","Inside","2fmCon","137000"
"248","11310","1954","1954","2742","1","0","5","WD","Inside","1Fam","140000"
"249","11317","2003","2003","2508","2","1","8","WD","Inside","1Fam","180000"
"250","159000","1958","2006","3588","2","1","7","WD","CulDSac","1Fam","277000"
"251","5350","1940","1966","2034","1","0","6","WD","Inside","1Fam","76500"
"252","4750","2006","2007","3198","3","1","5","WD","Inside","TwnhsE","235000"
"253","8366","2004","2004","2438","2","1","6","WD","Inside","1Fam","173000"
"254","9350","1964","1991","2604","2","1","7","CWD","Inside","1Fam","158000"
"255","8400","1957","1957","2628","2","0","5","WD","Inside","1Fam","145000"
"256","8738","1999","1999","3266","2","1","8","WD","Inside","1Fam","230000"
"257","8791","2003","2003","2592","2","1","7","WD","Inside","1Fam","207500"
"258","8814","2006","2006","3208","3","1","8","WD","Inside","1Fam","220000"
"259","12435","2001","2001","2755","2","1","7","WD","Inside","1Fam","231500"
"260","12702","1956","1956","882","1","0","4","WD","Inside","1Fam","97000"
"261","19296","1962","1962","2744","2","0","6","WD","Corner","1Fam","176000"
"262","9588","2007","2007","4056","2","1","10","New","Inside","1Fam","276000"
"263","8471","1977","1995","1718","2","0","6","WD","Corner","1Fam","151000"
"264","5500","1929","2001","2242","2","0","6","WD","Corner","1Fam","130000"
"265","5232","1925","2004","1444","1","0","4","WD","Inside","1Fam","73000"
"266","12090","1981","1981","2844","2","0","7","WD","Inside","1Fam","175500"
"267","11207","1997","1997","2313","3","1","8","WD","FR2","1Fam","185000"
"268","8400","1939","1997","2912","2","1","8","WD","Inside","1Fam","179500"
"269","6900","1940","1955","1518","1","0","4","WD","Inside","1Fam","120500"
"270","7917","1976","1976","2256","2","1","6","WD","Corner","1Fam","148000"
"271","10728","2006","2006","3034","2","1","8","New","Inside","1Fam","266000"
"272","39104","1954","2005","2748","2","0","5","WD","CulDSac","1Fam","241500"
"273","11764","1999","2007","3422","2","1","9","WD","CulDSac","1Fam","290000"
"274","9600","1958","1988","2872","3","0","6","WD","Inside","1Fam","139000"
"275","8314","1982","1982","1632","1","0","5","WD","Corner","1Fam","124500"
"276","7264","1925","2007","2500","2","1","5","WD","Inside","1Fam","205000"
"277","9196","2003","2003","3120","2","0","7","WD","Inside","1Fam","201000"
"278","19138","1951","1951","1728","1","0","4","WD","Corner","1Fam","141000"
"279","14450","2006","2007","4242","2","1","8","New","Inside","1Fam","415298"
"280","10005","1977","1977","3182","2","1","8","WD","Inside","1Fam","192000"
"281","11287","1989","1989","2789","2","1","7","WD","Inside","1Fam","228500"
"282","7200","2006","2006","2524","2","0","5","New","Inside","1Fam","185000"
"283","5063","2007","2008","2628","3","0","6","ConLw","Inside","Twnhs","207500"
"284","9612","2008","2009","2936","2","0","6","New","Inside","1Fam","244600"
"285","8012","1992","1992","3150","3","0","5","WD","Inside","TwnhsE","179200"
"286","4251","2006","2007","1875","2","1","5","New","Inside","TwnhsE","164700"
"287","9786","1962","1981","2646","1","1","7","WD","Inside","1Fam","159000"
"288","8125","1971","1971","1716","1","0","5","WD","Corner","1Fam","88000"
"289","9819","1967","1967","1782","1","0","5","WD","Inside","1Fam","122000"
"290","8730","1915","2003","2094","1","0","7","WD","Inside","1Fam","153575"
"291","15611","2006","2006","2998","2","1","8","New","Inside","1Fam","233230"
"292","5687","1912","2000","2496","3","0","9","WD","Inside","2fmCon","135900"
"293","11409","1949","2008","2484","1","1","8","WD","Inside","1Fam","131000"
"294","16659","1977","1994","3058","3","1","9","WD","Corner","1Fam","235000"
"295","9600","1953","1953","3060","2","0","7","WD","Inside","1Fam","167000"
"296","7937","1984","1984","2006","2","0","6","WD","CulDSac","1Fam","142500"
"297","13710","1950","1950","2468","1","1","6","WD","Inside","1Fam","152000"
"298","7399","1997","1998","2925","2","1","7","WD","Inside","1Fam","239000"
"299","11700","1968","1968","2445","1","3","7","WD","Inside","1Fam","175000"
"300","14000","1950","2004","2244","1","1","6","WD","Inside","1Fam","158500"
"301","15750","1953","1953","2501","2","0","5","WD","Corner","2fmCon","157000"
"302","16226","1998","1999","3480","2","1","9","WD","Inside","1Fam","267000"
"303","13704","2001","2002","3082","2","0","6","WD","Corner","1Fam","205000"
"304","9800","1972","1972","1788","2","0","5","WD","Corner","1Fam","149900"
"305","18386","1880","2002","4963","3","0","10","WD","Inside","1Fam","295000"
"306","10386","2004","2005","4000","3","0","8","WD","Inside","1Fam","305900"
"307","13474","1990","1991","2943","3","1","8","WD","Inside","1Fam","225000"
"308","7920","1920","1950","1725","1","0","6","WD","Inside","1Fam","89500"
"309","12342","1940","1950","1722","1","0","4","WD","Inside","1Fam","82500"
"310","12378","2003","2004","3840","3","0","8","WD","Inside","1Fam","360000"
"311","7685","1993","1994","2198","2","1","6","WD","Inside","1Fam","165600"
"312","8000","1948","2002","1944","2","0","5","WD","Inside","1Fam","132000"
"313","7800","1939","1950","1911","2","0","5","WD","Inside","2fmCon","119900"
"314","215245","1965","1965","4172","4","0","8","WD","Inside","1Fam","375000"
"315","9600","1925","1990","2369","1","2","6","WD","Inside","1Fam","178000"
"316","7795","2004","2005","2148","3","1","6","WD","Inside","1Fam","188500"
"317","13005","1980","1980","3198","3","1","10","WD","Corner","1Fam","260000"
"318","9000","2006","2006","3047","2","1","8","WD","Inside","1Fam","270000"
"319","9900","1993","1993","3993","3","1","9","WD","Inside","1Fam","260000"
"320","14115","1980","1980","2844","3","0","6","WD","Inside","1Fam","187500"
"321","16259","2006","2006","3845","3","1","9","New","Corner","1Fam","342643"
"322","12099","2004","2004","3604","3","1","10","WD","Inside","1Fam","354000"
"323","10380","1986","1987","4232","3","1","8","WD","Inside","1Fam","301000"
"324","5820","1955","2005","2325","2","0","6","WD","Inside","1Fam","126175"
"325","11275","1967","2007","3688","2","1","11","WD","Corner","1Fam","242000"
"326","5000","1941","1950","1523","1","0","5","WD","Inside","1Fam","87000"
"327","10846","1993","1993","3438","3","1","6","Con","CulDSac","TwnhsE","324000"
"328","11600","1960","1960","2766","1","1","7","WD","Inside","1Fam","145250"
"329","11888","1916","1994","2978","2","0","10","WD","Inside","1Fam","214500"
"330","6402","1920","1950","1788","1","0","6","WD","Corner","1Fam","78000"
"331","10624","1964","1964","3456","2","1","10","WD","Inside","Duplex","119000"
"332","8176","1958","1992","2112","2","0","6","WD","Inside","1Fam","139000"
"333","10655","2003","2004","4835","3","0","7","WD","Inside","1Fam","284000"
"334","8198","2004","2004","2716","3","0","6","WD","FR3","TwnhsE","207000"
"335","9042","1998","1998","2581","3","1","7","WD","Inside","1Fam","192000"
"336","164660","1965","1965","3285","4","0","7","WD","Corner","2fmCon","228950"
"337","14157","2005","2006","3844","3","0","8","WD","Corner","1Fam","377426"
"338","9135","2002","2003","3072","3","0","7","WD","Inside","1Fam","214000"
"339","14145","1984","1998","2829","3","0","8","WD","Corner","1Fam","202500"
"340","12400","1958","1998","2430","1","0","6","WD","Inside","1Fam","155000"
"341","14191","2002","2002","2875","2","1","9","WD","Inside","1Fam","202900"
"342","8400","1950","1950","1562","1","0","4","WD","Inside","1Fam","82000"
"343","8544","1949","1950","1040","2","0","6","WD","Inside","Duplex","87500"
"344","8849","2005","2005","3368","2","0","6","WD","Inside","TwnhsE","266000"
"345","2592","1976","1976","1648","1","1","4","WD","Inside","TwnhsE","85000"
"346","6435","1939","1950","2549","1","0","6","WD","Inside","1Fam","140200"
"347","12772","1960","1998","1916","1","0","5","WD","CulDSac","1Fam","151500"
"348","17600","1960","1960","2956","3","0","6","WD","Inside","1Fam","157500"
"349","2448","2003","2004","2390","3","1","6","WD","Inside","Twnhs","154000"
"350","20431","2005","2006","4576","3","1","10","New","Inside","1Fam","437154"
"351","7820","2007","2007","3738","2","0","6","New","Inside","TwnhsE","318061"
"352","5271","1986","1986","2906","2","1","6","WD","Inside","1Fam","190000"
"353","9084","1941","1950","1727","1","1","5","ConLw","Inside","1Fam","95000"
"354","8520","1928","2003","1344","1","0","5","WD","Inside","1Fam","105900"
"355","8400","1940","2000","2535","1","0","6","WD","Inside","1Fam","140000"
"356","11249","1995","1995","2400","3","0","6","WD","Inside","1Fam","177500"
"357","9248","1992","1992","2325","3","0","6","WD","Inside","1Fam","173000"
"358","4224","1976","1976","2284","2","1","6","WD","Inside","TwnhsE","134000"
"359","6930","1958","1958","2414","1","1","6","WD","Inside","1Fam","130000"
"360","12011","1998","1998","3010","3","1","7","WD","CulDSac","1Fam","280000"
"361","7540","1978","1978","1800","2","0","5","WD","CulDSac","1Fam","156000"
"362","9144","1940","1982","2388","2","0","8","WD","Inside","1Fam","145000"
"363","7301","2003","2003","1922","3","0","7","ConLD","Corner","1Fam","198500"
"364","1680","1972","2007","1470","1","1","5","WD","Inside","Twnhs","118000"
"365","18800","1976","1976","2370","3","1","6","WD","FR2","1Fam","190000"
"366","10690","1920","1997","2016","1","0","6","WD","Inside","1Fam","147000"
"367","9500","1963","1963","2788","2","1","6","WD","Inside","1Fam","159000"
"368","9150","1962","1962","2530","1","1","6","WD","Corner","1Fam","165000"
"369","7800","1954","1954","2536","1","0","7","WD","Inside","1Fam","132000"
"370","9830","1959","2006","2350","2","0","7","WD","Corner","1Fam","162000"
"371","8121","2000","2000","2617","2","1","7","WD","Inside","1Fam","172400"
